Issue key,Project key,Issue Type,Summary,Description,Priority,Status,Component/s,Environment,Reporter,Created,Current Team,Owning Team,HPS Triage Class
SWT-40130,SWT,Bug,TEST ticket - ignore,Auto-generated monitoring. No action required.,Medium,Closed,Merchant-Portal,Android,k.amine,7/24/2025 10:56,Merchant-Team,Merchant-Team,discard
PCA-40131,PCA,Incident,Card auth declined 05 for BIN 123456,Logs attached. Route to owning team for Issuer-Auth. Env=Production.,High,In Progress,Issuer-Auth,Production,o.lamia,3/19/2025 23:38,Merchant-Team,Issuer-Team,forward_other_team
SWT-40132,SWT,Bug,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,High,Closed,Mobile-SDK,Staging,s.fassi,10/4/2025 15:20,Mobile-Team,Mobile-Team,discard
FRA-40133,FRA,Service Request,Card auth declined 05 for BIN 123456,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Acquirer-Route. Env=Android.,Medium,To Do,Acquirer-Route,Android,n.elkachach,6/13/2025 17:07,Merchant-Team,Acquirer-Team,forward_other_team
PCA-40134,PCA,Task,Fraud score threshold wrong for MCC 5411,Logs attached. Route to owning team for Issuer-Auth. Env=UAT.,Low,To Do,Issuer-Auth,UAT,m.ali,8/6/2025 21:55,Fraud-Team,Issuer-Team,forward_other_team
MER-40135,MER,Bug,Issue found please fix,Cannot reproduce locally. Need timestamps.,High,Waiting for customer,Settlement-Core,Production,o.lamia,6/10/2025 14:12,Settlement-Team,Settlement-Team,need_more_info
TDS-40136,TDS,Service Request,Need help asap,Missing PAN mask and environment.,Highest,Waiting for customer,Clearing-Reports,Production,h.ben,6/8/2025 19:24,Settlement-Team,Settlement-Team,need_more_info
PCA-40137,PCA,Bug,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,Low,Closed,Issuer-Dispute,Staging,a.hassan,7/20/2025 16:10,Issuer-Team,Issuer-Team,discard
PCA-40138,PCA,Bug,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Fraud-Scoring. Env=Staging.,Low,In Progress,Fraud-Scoring,Staging,o.lamia,8/13/2025 14:18,Merchant-Team,Fraud-Team,forward_other_team
PCI-40139,PCI,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,High,Closed,Merchant-Portal,Android,n.elkachach,7/23/2025 19:18,Merchant-Team,Merchant-Team,discard
MER-40140,MER,Task,It doesn't work,No steps/logs provided.,Medium,Waiting for customer,Settlement-Core,Development,n.elkachach,3/24/2025 15:43,Settlement-Team,Settlement-Team,need_more_info
FRA-40141,FRA,Bug,Issue found please fix,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Switch-Core,Development,o.lamia,7/26/2025 20:16,Switch-Team,Switch-Team,need_more_info
PCI-40142,PCI,Task,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Issuer-Dispute,Staging,a.hassan,9/24/2025 3:45,Issuer-Team,Issuer-Team,discard
FRA-40143,FRA,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,High,Closed,Mobile-SDK,Android,h.ben,8/12/2025 5:12,Mobile-Team,Mobile-Team,discard
PCI-40144,PCI,Task,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Low,Closed,Clearing-Reports,iOS,o.lamia,5/7/2025 0:16,Settlement-Team,Settlement-Team,discard
FRA-40145,FRA,Task,TEST ticket - ignore,Auto-generated monitoring. No action required.,High,Closed,Issuer-Auth,Development,k.amine,8/4/2025 22:09,Issuer-Team,Issuer-Team,discard
TDS-40146,TDS,Task,Switch routing table failed over unexpectedly,Logs attached. Route to owning team for 3DS-Enrollment. Env=Production.,Highest,In Progress,3DS-Enrollment,Production,m.ali,5/21/2025 3:40,Fraud-Team,3DS-Team,forward_other_team
SWT-40147,SWT,Bug,TEST ticket - ignore,Auto-generated monitoring. No action required.,Highest,Closed,Mobile-SDK,Staging,k.amine,5/18/2025 20:38,Mobile-Team,Mobile-Team,discard
MER-40148,MER,Incident,Issue found please fix,Cannot reproduce locally. Need timestamps.,Highest,Waiting for customer,3DS-Challenge,Production,k.amine,7/28/2025 13:27,3DS-Team,3DS-Team,need_more_info
PCA-40149,PCA,Bug,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Highest,Closed,Merchant-Portal,Production,s.fassi,4/23/2025 11:40,Merchant-Team,Merchant-Team,discard
FRA-40150,FRA,Incident,Issue found please fix,Cannot reproduce locally. Need timestamps.,Highest,Waiting for customer,3DS-Enrollment,iOS,r.ghali,5/2/2025 13:56,3DS-Team,3DS-Team,need_more_info
MOB-40151,MOB,Service Request,POS EMV fallback returns 0x93,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Switch-Core. Env=Android.,Highest,In Progress,Switch-Core,Android,m.ali,5/7/2025 1:33,Issuer-Team,Switch-Team,forward_other_team
TDS-40152,TDS,Incident,3DS challenge timeout on iOS 17,Logs attached. Route to owning team for Mobile-SDK. Env=iOS.,Medium,In Progress,Mobile-SDK,iOS,r.ghali,8/22/2025 21:52,Acquirer-Team,Mobile-Team,forward_other_team
TDS-40153,TDS,Task,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Highest,Closed,Mobile-SDK,Android,m.ali,4/21/2025 17:51,Mobile-Team,Mobile-Team,discard
MOB-40154,MOB,Service Request,3DS challenge timeout on iOS 17,"Expected auth approval, actual decline. Component Acquirer-Route, Env=UAT.",Highest,To Do,Acquirer-Route,UAT,r.ghali,4/13/2025 0:57,Settlement-Team,Acquirer-Team,forward_other_team
MER-40155,MER,Task,Settlement file missing batch #42,Logs attached. Route to owning team for Issuer-Auth. Env=iOS.,Medium,In Progress,Issuer-Auth,iOS,a.hassan,7/9/2025 2:42,Settlement-Team,Issuer-Team,forward_other_team
FRA-40156,FRA,Task,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Low,Closed,Acquirer-Route,Android,s.fassi,6/13/2025 1:16,Acquirer-Team,Acquirer-Team,discard
TDS-40157,TDS,Incident,It doesn't work,No steps/logs provided.,High,Waiting for customer,Merchant-Portal,Android,a.hassan,8/27/2025 8:58,Merchant-Team,Merchant-Team,need_more_info
PCI-40158,PCI,Task,Switch routing table failed over unexpectedly,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects POS-Integration. Env=Production.,Medium,In Progress,POS-Integration,Production,y.tazi,9/26/2025 7:25,Mobile-Team,Acquirer-Team,forward_other_team
PCI-40159,PCI,Incident,POS EMV fallback returns 0x93,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Issuer-Auth. Env=Production.,Low,In Progress,Issuer-Auth,Production,m.ali,9/20/2025 19:28,Settlement-Team,Issuer-Team,forward_other_team
PCI-40160,PCI,Task,Fraud score threshold wrong for MCC 5411,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects POS-Integration. Env=iOS.,Medium,To Do,POS-Integration,iOS,o.lamia,3/23/2025 14:37,Switch-Team,Acquirer-Team,forward_other_team
PCA-40161,PCA,Incident,TEST ticket - ignore,Duplicate created by webhook glitch.,Low,Closed,Acquirer-Route,Staging,o.lamia,4/3/2025 1:37,Acquirer-Team,Acquirer-Team,discard
PCI-40162,PCI,Service Request,It doesn't work,No steps/logs provided.,Low,Waiting for customer,Acquirer-Route,UAT,r.ghali,9/21/2025 5:32,Acquirer-Team,Acquirer-Team,need_more_info
SWT-40163,SWT,Service Request,It doesn't work,No steps/logs provided.,Highest,Waiting for customer,Fraud-Scoring,Development,a.hassan,4/4/2025 18:13,Fraud-Team,Fraud-Team,need_more_info
FRA-40164,FRA,Task,POS EMV fallback returns 0x93,Logs attached. Route to owning team for Clearing-Reports. Env=UAT.,Low,To Do,Clearing-Reports,UAT,a.hassan,3/26/2025 4:30,3DS-Team,Settlement-Team,forward_other_team
SWT-40165,SWT,Task,POS EMV fallback returns 0x93,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Issuer-Dispute. Env=Development.,Medium,In Progress,Issuer-Dispute,Development,k.amine,6/27/2025 4:52,Switch-Team,Issuer-Team,forward_other_team
TDS-40166,TDS,Bug,Merchant portal export fails for >10k rows,"Expected auth approval, actual decline. Component POS-Integration, Env=Android.",Low,To Do,POS-Integration,Android,n.elkachach,5/4/2025 6:18,Fraud-Team,Acquirer-Team,forward_other_team
TDS-40167,TDS,Service Request,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,High,Closed,Mobile-SDK,UAT,r.ghali,7/29/2025 11:44,Mobile-Team,Mobile-Team,discard
MER-40168,MER,Service Request,Need help asap,No steps/logs provided.,Low,Waiting for customer,3DS-Challenge,Android,m.ali,3/19/2025 16:28,3DS-Team,3DS-Team,need_more_info
MER-40169,MER,Incident,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Acquirer-Route,iOS,o.lamia,8/31/2025 8:37,Acquirer-Team,Acquirer-Team,discard
MER-40170,MER,Service Request,Issue found please fix,No steps/logs provided.,High,Waiting for customer,Fraud-Scoring,iOS,m.ali,8/10/2025 0:09,Fraud-Team,Fraud-Team,need_more_info
FRA-40171,FRA,Service Request,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,Medium,Closed,Acquirer-Route,Production,k.amine,9/6/2025 9:36,Acquirer-Team,Acquirer-Team,discard
MOB-40172,MOB,Task,TEST ticket - ignore,Duplicate created by webhook glitch.,High,Closed,Merchant-Portal,Android,r.ghali,9/2/2025 5:48,Merchant-Team,Merchant-Team,discard
FRA-40173,FRA,Incident,Issue found please fix,Cannot reproduce locally. Need timestamps.,High,Waiting for customer,Merchant-Portal,Production,o.lamia,8/13/2025 1:55,Merchant-Team,Merchant-Team,need_more_info
MOB-40174,MOB,Incident,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component Merchant-Portal, Env=Development.",Highest,In Progress,Merchant-Portal,Development,n.elkachach,5/14/2025 21:48,Acquirer-Team,Merchant-Team,forward_other_team
PCA-40175,PCA,Task,Fraud score threshold wrong for MCC 5411,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Acquirer-Route. Env=Android.,Medium,In Progress,Acquirer-Route,Android,a.hassan,5/31/2025 12:45,3DS-Team,Acquirer-Team,forward_other_team
MOB-40176,MOB,Task,It doesn't work,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Clearing-Reports,iOS,a.hassan,5/14/2025 15:07,Settlement-Team,Settlement-Team,need_more_info
PCI-40177,PCI,Task,Settlement file missing batch #42,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Switch-Core. Env=Staging.,Low,In Progress,Switch-Core,Staging,o.lamia,4/10/2025 0:07,Mobile-Team,Switch-Team,forward_other_team
MER-40178,MER,Task,POS EMV fallback returns 0x93,Logs attached. Route to owning team for POS-Integration. Env=UAT.,Medium,To Do,POS-Integration,UAT,r.ghali,7/11/2025 12:10,Issuer-Team,Acquirer-Team,forward_other_team
TDS-40179,TDS,Incident,Merchant portal export fails for >10k rows,"Expected auth approval, actual decline. Component Settlement-Core, Env=UAT.",Medium,In Progress,Settlement-Core,UAT,a.hassan,6/18/2025 23:24,Merchant-Team,Settlement-Team,forward_other_team
TDS-40180,TDS,Service Request,Fraud score threshold wrong for MCC 5411,"Expected auth approval, actual decline. Component Settlement-Core, Env=Android.",High,To Do,Settlement-Core,Android,h.ben,9/21/2025 7:36,Acquirer-Team,Settlement-Team,forward_other_team
PCI-40181,PCI,Task,Fraud score threshold wrong for MCC 5411,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Issuer-Auth. Env=UAT.,High,In Progress,Issuer-Auth,UAT,y.tazi,7/15/2025 10:45,Switch-Team,Issuer-Team,forward_other_team
MOB-40182,MOB,Incident,It doesn't work,Missing PAN mask and environment.,Highest,Waiting for customer,Issuer-Dispute,Production,o.lamia,3/23/2025 8:50,Issuer-Team,Issuer-Team,need_more_info
SET-40183,SET,Incident,Need help asap,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,3DS-Enrollment,Production,r.ghali,5/4/2025 3:10,3DS-Team,3DS-Team,need_more_info
TDS-40184,TDS,Service Request,TEST ticket - ignore,Auto-generated monitoring. No action required.,Medium,Closed,Issuer-Auth,Production,r.ghali,8/22/2025 14:57,Issuer-Team,Issuer-Team,discard
PCI-40185,PCI,Service Request,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Issuer-Auth,Production,o.lamia,6/20/2025 17:20,Issuer-Team,Issuer-Team,discard
SET-40186,SET,Task,3DS challenge timeout on iOS 17,"Expected auth approval, actual decline. Component Clearing-Reports, Env=Staging.",Low,To Do,Clearing-Reports,Staging,k.amine,4/15/2025 6:26,3DS-Team,Settlement-Team,forward_other_team
PCI-40187,PCI,Task,Need help asap,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,POS-Integration,UAT,o.lamia,6/25/2025 7:54,Acquirer-Team,Acquirer-Team,need_more_info
PCA-40188,PCA,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Medium,Closed,Fraud-Scoring,UAT,r.ghali,8/30/2025 16:40,Fraud-Team,Fraud-Team,discard
FRA-40189,FRA,Service Request,Fraud score threshold wrong for MCC 5411,"Expected auth approval, actual decline. Component Switch-Core, Env=iOS.",Medium,In Progress,Switch-Core,iOS,o.lamia,8/5/2025 1:39,Mobile-Team,Switch-Team,forward_other_team
FRA-40190,FRA,Service Request,Need help asap,No steps/logs provided.,Highest,Waiting for customer,3DS-Challenge,Production,o.lamia,9/13/2025 10:26,3DS-Team,3DS-Team,need_more_info
MER-40191,MER,Bug,Settlement file missing batch #42,Logs attached. Route to owning team for Switch-Core. Env=Development.,Medium,To Do,Switch-Core,Development,r.ghali,4/26/2025 6:14,Acquirer-Team,Switch-Team,forward_other_team
MER-40192,MER,Task,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Low,Closed,Mobile-SDK,Development,s.fassi,9/10/2025 17:56,Mobile-Team,Mobile-Team,discard
TDS-40193,TDS,Bug,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component Switch-Core, Env=Staging.",High,To Do,Switch-Core,Staging,y.tazi,9/2/2025 15:42,Issuer-Team,Switch-Team,forward_other_team
MOB-40194,MOB,Task,Issue found please fix,Missing PAN mask and environment.,Medium,Waiting for customer,Switch-Core,Production,y.tazi,9/2/2025 3:22,Switch-Team,Switch-Team,need_more_info
MER-40195,MER,Incident,Settlement file missing batch #42,"Expected auth approval, actual decline. Component Issuer-Dispute, Env=Production.",Medium,In Progress,Issuer-Dispute,Production,r.ghali,8/20/2025 15:27,Fraud-Team,Issuer-Team,forward_other_team
SWT-40196,SWT,Task,TEST ticket - ignore,Auto-generated monitoring. No action required.,High,Closed,Mobile-SDK,Staging,n.elkachach,8/19/2025 15:18,Mobile-Team,Mobile-Team,discard
SET-40197,SET,Bug,It doesn't work,No steps/logs provided.,Highest,Waiting for customer,Switch-Core,Android,o.lamia,3/18/2025 2:44,Switch-Team,Switch-Team,need_more_info
SET-40198,SET,Task,Need help asap,Cannot reproduce locally. Need timestamps.,Highest,Waiting for customer,Clearing-Reports,iOS,n.elkachach,9/22/2025 14:57,Settlement-Team,Settlement-Team,need_more_info
MER-40199,MER,Bug,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Issuer-Dispute. Env=Staging.,High,To Do,Issuer-Dispute,Staging,h.ben,9/11/2025 19:59,3DS-Team,Issuer-Team,forward_other_team
PCA-40200,PCA,Service Request,TEST ticket - ignore,Auto-generated monitoring. No action required.,High,Closed,Settlement-Core,Development,k.amine,4/12/2025 8:45,Settlement-Team,Settlement-Team,discard
PCA-40201,PCA,Bug,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component 3DS-Enrollment, Env=Staging.",Low,To Do,3DS-Enrollment,Staging,a.hassan,9/24/2025 7:35,Acquirer-Team,3DS-Team,forward_other_team
PCA-40202,PCA,Service Request,Settlement file missing batch #42,Logs attached. Route to owning team for POS-Integration. Env=Production.,Highest,To Do,POS-Integration,Production,m.ali,10/4/2025 10:50,Settlement-Team,Acquirer-Team,forward_other_team
PCI-40203,PCI,Incident,TEST ticket - ignore,Duplicate created by webhook glitch.,Highest,Closed,Fraud-Scoring,Staging,n.elkachach,3/25/2025 13:58,Fraud-Team,Fraud-Team,discard
MOB-40204,MOB,Bug,Fraud score threshold wrong for MCC 5411,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Merchant-Portal. Env=UAT.,Medium,To Do,Merchant-Portal,UAT,n.elkachach,4/14/2025 2:45,3DS-Team,Merchant-Team,forward_other_team
MER-40205,MER,Bug,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,Highest,Closed,Switch-Core,Development,m.ali,8/26/2025 7:57,Switch-Team,Switch-Team,discard
MER-40206,MER,Incident,Issue found please fix,Missing PAN mask and environment.,High,Waiting for customer,Settlement-Core,UAT,o.lamia,5/10/2025 20:47,Settlement-Team,Settlement-Team,need_more_info
SET-40207,SET,Incident,Fraud score threshold wrong for MCC 5411,Logs attached. Route to owning team for Mobile-SDK. Env=Android.,Highest,In Progress,Mobile-SDK,Android,n.elkachach,8/20/2025 3:23,Fraud-Team,Mobile-Team,forward_other_team
SWT-40208,SWT,Bug,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Low,Closed,POS-Integration,Staging,s.fassi,7/22/2025 6:47,Acquirer-Team,Acquirer-Team,discard
MER-40209,MER,Incident,TEST ticket - ignore,Duplicate created by webhook glitch.,Medium,Closed,Issuer-Auth,iOS,n.elkachach,6/8/2025 17:05,Issuer-Team,Issuer-Team,discard
TDS-40210,TDS,Incident,TEST ticket - ignore,Duplicate created by webhook glitch.,Low,Closed,Settlement-Core,Production,a.hassan,8/10/2025 21:22,Settlement-Team,Settlement-Team,discard
MER-40211,MER,Bug,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,High,Closed,Fraud-Scoring,UAT,a.hassan,5/25/2025 13:03,Fraud-Team,Fraud-Team,discard
PCA-40212,PCA,Incident,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component POS-Integration, Env=Staging.",Low,In Progress,POS-Integration,Staging,m.ali,7/15/2025 14:23,Mobile-Team,Acquirer-Team,forward_other_team
MER-40213,MER,Service Request,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Mobile-SDK,Development,s.fassi,6/15/2025 2:26,Mobile-Team,Mobile-Team,discard
TDS-40214,TDS,Service Request,TEST ticket - ignore,Auto-generated monitoring. No action required.,Highest,Closed,Merchant-Portal,Staging,y.tazi,8/9/2025 10:15,Merchant-Team,Merchant-Team,discard
SET-40215,SET,Task,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Low,Closed,Issuer-Dispute,Staging,r.ghali,7/16/2025 15:57,Issuer-Team,Issuer-Team,discard
PCA-40216,PCA,Incident,Need help asap,Missing PAN mask and environment.,Low,Waiting for customer,Clearing-Reports,Development,o.lamia,8/14/2025 13:27,Settlement-Team,Settlement-Team,need_more_info
MER-40217,MER,Bug,Switch routing table failed over unexpectedly,Logs attached. Route to owning team for POS-Integration. Env=Staging.,Low,In Progress,POS-Integration,Staging,m.ali,7/2/2025 11:04,Switch-Team,Acquirer-Team,forward_other_team
MER-40218,MER,Incident,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,Highest,Closed,POS-Integration,Android,o.lamia,9/12/2025 6:03,Acquirer-Team,Acquirer-Team,discard
PCI-40219,PCI,Service Request,Need help asap,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Settlement-Core,Staging,m.ali,7/30/2025 1:24,Settlement-Team,Settlement-Team,need_more_info
MOB-40220,MOB,Service Request,Card auth declined 05 for BIN 123456,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Mobile-SDK. Env=Android.,Highest,In Progress,Mobile-SDK,Android,k.amine,5/16/2025 7:40,3DS-Team,Mobile-Team,forward_other_team
PCA-40221,PCA,Service Request,It doesn't work,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,Fraud-Scoring,Android,o.lamia,4/22/2025 2:45,Fraud-Team,Fraud-Team,need_more_info
SET-40222,SET,Bug,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Low,Closed,Issuer-Dispute,UAT,o.lamia,5/20/2025 1:29,Issuer-Team,Issuer-Team,discard
TDS-40223,TDS,Service Request,Card auth declined 05 for BIN 123456,Logs attached. Route to owning team for POS-Integration. Env=Development.,Medium,In Progress,POS-Integration,Development,s.fassi,9/2/2025 18:43,Mobile-Team,Acquirer-Team,forward_other_team
SET-40224,SET,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Highest,Closed,Issuer-Dispute,Staging,a.hassan,3/30/2025 5:32,Issuer-Team,Issuer-Team,discard
PCA-40225,PCA,Incident,Need help asap,Missing PAN mask and environment.,High,Waiting for customer,Settlement-Core,Android,r.ghali,7/17/2025 12:58,Settlement-Team,Settlement-Team,need_more_info
PCI-40226,PCI,Service Request,Need help asap,Missing PAN mask and environment.,Highest,Waiting for customer,Fraud-Scoring,iOS,a.hassan,8/12/2025 14:46,Fraud-Team,Fraud-Team,need_more_info
MER-40227,MER,Incident,Card auth declined 05 for BIN 123456,Logs attached. Route to owning team for Issuer-Auth. Env=Staging.,Low,To Do,Issuer-Auth,Staging,s.fassi,6/10/2025 9:10,Mobile-Team,Issuer-Team,forward_other_team
PCI-40228,PCI,Incident,Fraud score threshold wrong for MCC 5411,Logs attached. Route to owning team for Clearing-Reports. Env=UAT.,Low,In Progress,Clearing-Reports,UAT,y.tazi,8/6/2025 0:50,Issuer-Team,Settlement-Team,forward_other_team
TDS-40229,TDS,Task,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component 3DS-Challenge, Env=Staging.",Low,In Progress,3DS-Challenge,Staging,y.tazi,5/29/2025 22:36,Merchant-Team,3DS-Team,forward_other_team
PCA-40230,PCA,Incident,Need help asap,No steps/logs provided.,Low,Waiting for customer,Fraud-Scoring,Android,n.elkachach,7/30/2025 19:28,Fraud-Team,Fraud-Team,need_more_info
PCA-40231,PCA,Task,TEST ticket - ignore,Duplicate created by webhook glitch.,Low,Closed,3DS-Enrollment,UAT,m.ali,8/29/2025 9:46,3DS-Team,3DS-Team,discard
FRA-40232,FRA,Task,TEST ticket - ignore,Auto-generated monitoring. No action required.,High,Closed,Settlement-Core,Production,r.ghali,5/6/2025 0:55,Settlement-Team,Settlement-Team,discard
PCA-40233,PCA,Incident,Issue found please fix,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,Fraud-Scoring,UAT,m.ali,8/23/2025 20:06,Fraud-Team,Fraud-Team,need_more_info
SWT-40234,SWT,Service Request,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Issuer-Auth. Env=Development.,High,To Do,Issuer-Auth,Development,o.lamia,3/20/2025 6:17,Settlement-Team,Issuer-Team,forward_other_team
SET-40235,SET,Task,Settlement file missing batch #42,"Expected auth approval, actual decline. Component POS-Integration, Env=iOS.",Medium,In Progress,POS-Integration,iOS,k.amine,9/14/2025 20:52,Mobile-Team,Acquirer-Team,forward_other_team
SET-40236,SET,Task,It doesn't work,Missing PAN mask and environment.,High,Waiting for customer,Fraud-Scoring,Development,k.amine,3/22/2025 14:08,Fraud-Team,Fraud-Team,need_more_info
SET-40237,SET,Service Request,Need help asap,No steps/logs provided.,Medium,Waiting for customer,Fraud-Scoring,Staging,m.ali,7/1/2025 11:41,Fraud-Team,Fraud-Team,need_more_info
PCA-40238,PCA,Task,Need help asap,No steps/logs provided.,Low,Waiting for customer,Acquirer-Route,Android,o.lamia,4/10/2025 7:59,Acquirer-Team,Acquirer-Team,need_more_info
MER-40239,MER,Task,Issue found please fix,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Acquirer-Route,Development,s.fassi,4/2/2025 14:01,Acquirer-Team,Acquirer-Team,need_more_info
PCI-40240,PCI,Task,Need help asap,No steps/logs provided.,Highest,Waiting for customer,Merchant-Portal,UAT,m.ali,6/28/2025 21:38,Merchant-Team,Merchant-Team,need_more_info
PCI-40241,PCI,Task,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Clearing-Reports. Env=Android.,Low,To Do,Clearing-Reports,Android,k.amine,8/26/2025 8:34,Switch-Team,Settlement-Team,forward_other_team
SWT-40242,SWT,Task,It doesn't work,No steps/logs provided.,Highest,Waiting for customer,Acquirer-Route,UAT,y.tazi,8/29/2025 9:30,Acquirer-Team,Acquirer-Team,need_more_info
PCI-40243,PCI,Bug,It doesn't work,No steps/logs provided.,High,Waiting for customer,Fraud-Scoring,Staging,o.lamia,6/21/2025 5:24,Fraud-Team,Fraud-Team,need_more_info
PCI-40244,PCI,Service Request,TEST ticket - ignore,Duplicate created by webhook glitch.,Low,Closed,Switch-Core,UAT,m.ali,4/17/2025 22:32,Switch-Team,Switch-Team,discard
SWT-40245,SWT,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Medium,Closed,Settlement-Core,Android,m.ali,9/3/2025 19:21,Settlement-Team,Settlement-Team,discard
PCI-40246,PCI,Task,Issue found please fix,Cannot reproduce locally. Need timestamps.,High,Waiting for customer,Merchant-Portal,Android,n.elkachach,6/22/2025 12:40,Merchant-Team,Merchant-Team,need_more_info
TDS-40247,TDS,Service Request,It doesn't work,No steps/logs provided.,Low,Waiting for customer,Clearing-Reports,Production,r.ghali,5/4/2025 0:38,Settlement-Team,Settlement-Team,need_more_info
FRA-40248,FRA,Service Request,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Low,Closed,Acquirer-Route,Staging,a.hassan,5/22/2025 10:05,Acquirer-Team,Acquirer-Team,discard
PCI-40249,PCI,Incident,It doesn't work,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,Settlement-Core,Development,y.tazi,3/18/2025 19:13,Settlement-Team,Settlement-Team,need_more_info
MER-40250,MER,Incident,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,Highest,Closed,Fraud-Scoring,Android,y.tazi,9/2/2025 2:43,Fraud-Team,Fraud-Team,discard
PCI-40251,PCI,Incident,TEST ticket - ignore,Duplicate created by webhook glitch.,Medium,Closed,Mobile-SDK,Development,m.ali,8/23/2025 13:30,Mobile-Team,Mobile-Team,discard
PCI-40252,PCI,Service Request,POS EMV fallback returns 0x93,"Expected auth approval, actual decline. Component Issuer-Dispute, Env=iOS.",High,In Progress,Issuer-Dispute,iOS,m.ali,4/25/2025 12:41,Settlement-Team,Issuer-Team,forward_other_team
MER-40253,MER,Incident,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Settlement-Core. Env=Development.,High,To Do,Settlement-Core,Development,a.hassan,9/7/2025 19:35,Issuer-Team,Settlement-Team,forward_other_team
MOB-40254,MOB,Incident,Issue found please fix,Missing PAN mask and environment.,Low,Waiting for customer,Acquirer-Route,Android,o.lamia,5/24/2025 23:08,Acquirer-Team,Acquirer-Team,need_more_info
SWT-40255,SWT,Bug,Switch routing table failed over unexpectedly,Logs attached. Route to owning team for Issuer-Auth. Env=iOS.,Highest,In Progress,Issuer-Auth,iOS,m.ali,9/22/2025 16:14,Settlement-Team,Issuer-Team,forward_other_team
SET-40256,SET,Bug,Settlement file missing batch #42,Logs attached. Route to owning team for Settlement-Core. Env=UAT.,High,To Do,Settlement-Core,UAT,h.ben,9/22/2025 12:30,Mobile-Team,Settlement-Team,forward_other_team
SWT-40257,SWT,Service Request,It doesn't work,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,Issuer-Auth,iOS,s.fassi,3/20/2025 22:51,Issuer-Team,Issuer-Team,need_more_info
PCI-40258,PCI,Service Request,Need help asap,Cannot reproduce locally. Need timestamps.,Highest,Waiting for customer,3DS-Challenge,Production,y.tazi,4/26/2025 4:38,3DS-Team,3DS-Team,need_more_info
